i,p,r,a,t,level,marginal,lower,upper,scale
Austria,housing,L,2,11,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,12,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,13,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,14,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,15,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,16,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,17,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,18,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,19,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,20,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,21,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,22,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,23,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,24,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,25,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,26,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,27,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,28,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,29,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,30,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,31,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,0,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,1,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,2,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,3,880.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,4,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,5,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,6,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,7,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,8,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,9,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,10,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,11,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,12,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,13,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,14,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,15,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,16,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,17,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,18,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,19,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,20,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,21,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,22,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,23,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,24,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,25,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,26,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,27,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,28,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,29,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,30,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,31,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,1,0,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,1,1,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,1,2,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,1,3,583.0,-0.0,0.0,inf,1.0
Austria,housing,M,1,4,447.0,-0.0,0.0,inf,1.0
Austria,housing,M,1,5,451.0,-0.0,0.0,inf,1.0
Austria,housing,M,1,6,372.0,-0.0,0.0,inf,1.0
Austria,housing,M,1,7,262.0,-0.0,0.0,inf,1.0
