i,p,r,a,t,level,marginal,lower,upper,scale
Austria,food_clothing,M,2,14,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,15,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,16,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,17,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,18,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,19,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,20,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,21,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,22,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,23,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,24,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,25,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,26,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,27,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,28,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,29,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,30,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,31,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,3,0,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,1,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,2,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,3,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,4,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,5,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,6,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,7,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,8,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,9,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,10,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,11,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,12,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,13,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,14,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,15,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,16,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,17,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,18,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,19,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,20,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,21,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,22,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,23,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,24,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,25,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,26,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,27,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,28,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,29,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,30,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,M,3,31,0.0,2500.0,0.0,inf,1.0
Austria,food_clothing,H,1,0,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,1,13660.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,2,13162.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,3,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,4,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,H,1,5,0.0,1000.0,0.0,inf,1.0
